iso3,area_scope,area_level,calendar_quarter_t2,calendar_quarter_t3,calendar_quarter_t1,survey_prevalence,survey_art_coverage,survey_recently_infected,use_survey_aggregate,include_art_t1,include_art_t2,artattend,artattend_t2,anc_clients_year2,anc_clients_year2_num_months,anc_prevalence_year1,anc_prevalence_year2,anc_art_coverage_year1,anc_art_coverage_year2,spectrum_population_calibration,output_aware_plhiv,max_iterations,no_of_samples,rng_seed,permissive,artattend_log_gamma_offset,use_kish_prev,deff_prev,use_kish_artcov,deff_artcov,use_kish_recent,deff_recent,spectrum_plhiv_calibration_level,spectrum_plhiv_calibration_strat,spectrum_artnum_calibration_level,spectrum_artnum_calibration_strat,spectrum_aware_calibration_level,spectrum_aware_calibration_strat,spectrum_infections_calibration_level,spectrum_infections_calibration_strat,calibrate_method,deff_vls,use_kish_vls,rho_paed_x_term,rho_paed_15to49f_ratio,alpha_xst_term,adjust_area_growth,anchor_home_district,calendar_quarter_t4,calendar_quarter_t5,psnu_level,extra_memory
fallback,NA,NA,CY2025Q4,CY2026Q3,NA,NA,NA,NA,FALSE,,,,,2025,12,,2025,,2025,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,national,sex_age_group,national,sex_age_group,national,sex_age_group,national,sex_age_group,logistic,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,CY2027Q3,CY2028Q3,,FALSE
AGO,AGO,1,CY2025Q4,CY2026Q3,CY2023Q4,AGO2023DHS,,,FALSE,,TRUE,TRUE,TRUE,2025,12,2023,2025,2023,2025,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,national,sex_age_group,national,sex_age_group,national,sex_age_group,national,sex_age_group,logistic,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CY2027Q3,CY2028Q3,1,FALSE
BDI,BDI,2,CY2025Q4,CY2026Q3,CY2016Q4,BDI2016DHS,,,FALSE,,TRUE,TRUE,TRUE,2025,12,,2025,,2025,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,national,sex_age_group,national,sex_age_group,national,sex_age_group,national,sex_age_group,logistic,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,CY2027Q3,CY2028Q3,1,FALSE
BEN,BEN,2,CY2025Q4,CY2026Q3,CY2012Q1,BEN2012DHS,,,TRUE,,TRUE,TRUE,TRUE,2025,12,,2025,,2025,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,national,sex_age_group,national,sex_age_group,national,sex_age_group,national,sex_age_group,logistic,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,CY2027Q3,CY2028Q3,1,FALSE
BFA,BFA,2,CY2025Q4,CY2026Q3,CY2010Q3,BFA2010DHS,,,FALSE,,TRUE,TRUE,TRUE,2025,12,,2025,,2025,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,national,sex_age_group,national,sex_age_group,national,sex_age_group,national,sex_age_group,logistic,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,CY2027Q3,CY2028Q3,1,FALSE
BWA,BWA,3,CY2025Q4,CY2026Q3,CY2021Q1,BWA2021BAIS,BWA2021BAIS,,FALSE,,TRUE,TRUE,TRUE,2025,12,2019,2025,2019,2025,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,national,sex_age_group,national,sex_age_group,national,sex_age_group,national,sex_age_group,logistic,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,CY2027Q3,CY2028Q3,3,FALSE
CAF,CAF,3,CY2025Q4,CY2026Q3,CY2010Q4,CAF2010MICS,,,TRUE,,TRUE,TRUE,TRUE,2025,12,2019,2025,2019,2025,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,national,sex_age_group,national,sex_age_group,national,sex_age_group,national,sex_age_group,logistic,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,CY2027Q3,CY2028Q3,,FALSE
CIV,CIV,2,CY2025Q4,CY2026Q3,CY2017Q4,CIV2017PHIA,CIV2017PHIA,,FALSE,,TRUE,TRUE,TRUE,2025,12,2017,2025,2017,2025,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,national,sex_age_group,national,sex_age_group,national,sex_age_group,national,sex_age_group,logistic,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,CY2027Q3,CY2028Q3,1,FALSE
CMR,CMR,3,CY2025Q4,CY2026Q3,CY2017Q3,CMR2018DHS; CMR2017PHIA,CMR2017PHIA,,FALSE,,TRUE,TRUE,TRUE,2025,12,2018,2025,2018,2025,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,national,sex_age_group,national,sex_age_group,national,sex_age_group,national,sex_age_group,logistic,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,CY2027Q3,CY2028Q3,1,FALSE
COD,COD,3,CY2025Q4,CY2026Q3,CY2023Q4,COD2023DHS,,,FALSE,,TRUE,TRUE,TRUE,2025,12,2023,2025,2023,2025,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,national,sex_age_group,national,sex_age_group,national,sex_age_group,national,sex_age_group,logistic,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CY2027Q3,CY2028Q3,3,FALSE
